time[ms],[Ca2+]_i[mM]
6.260015389878741132e+01,7.146614193916320801e-01
6.266364572007647382e+01,7.168542146682739258e-01
6.272713754136553632e+01,7.190470695495605469e-01
6.279062936265459882e+01,7.212398648262023926e-01
6.285412118394366132e+01,7.234327197074890137e-01
6.291761300523272382e+01,7.256255149841308594e-01
6.298596093614092695e+01,7.278118729591369629e-01
6.305441949326983320e+01,7.299979925155639648e-01
6.312287805039873945e+01,7.321841716766357422e-01
6.319134042222491132e+01,7.343703508377075195e-01
6.325979897935381757e+01,7.365564703941345215e-01
6.332825753648272382e+01,7.387426495552062988e-01
6.339671609361163007e+01,7.409287691116333008e-01
6.346517846543780195e+01,7.431149482727050781e-01
6.353363702256670820e+01,7.453011274337768555e-01
6.360209557969561445e+01,7.474872469902038574e-01
6.367055413682452070e+01,7.496734261512756348e-01
6.373901650865069257e+01,7.518596053123474121e-01
6.380934808213702070e+01,7.540429830551147461e-01
6.388357064683428632e+01,7.562207579612731934e-01
6.395779321153155195e+01,7.583985328674316406e-01
6.403201577622881757e+01,7.605762481689453125e-01
6.410623834092608320e+01,7.627540230751037598e-01
6.418045709092608320e+01,7.649317979812622070e-01
6.425467965562334882e+01,7.671095728874206543e-01
6.432890222032061445e+01,7.692872881889343262e-01
6.440312478501788007e+01,7.714650630950927734e-01
6.447734734971514570e+01,7.736428380012512207e-01
6.455156991441241132e+01,7.758205533027648926e-01
6.463152215440264570e+01,7.779891490936279297e-01
6.471329019029131757e+01,7.801548242568969727e-01
6.479505822617998945e+01,7.823204994201660156e-01
6.487682626206866132e+01,7.844861745834350586e-01
6.495859429795733320e+01,7.866518497467041016e-01
6.504036233384600507e+01,7.888175249099731445e-01
6.512213036973467695e+01,7.909832000732421875e-01
6.520389840562334882e+01,7.931488752365112305e-01
6.529128167588702070e+01,7.953043580055236816e-01
6.538513085801592695e+01,7.974480390548706055e-01
6.547898385484209882e+01,7.995917797088623047e-01
6.557283303697100507e+01,8.017355203628540039e-01
6.566668603379717695e+01,8.038792014122009277e-01
6.576053521592608320e+01,8.060229420661926270e-01
6.586535928208819257e+01,8.081430196762084961e-01
6.597680184800616132e+01,8.102488517761230469e-01
6.608824059922686445e+01,8.123546838760375977e-01
6.619967935044756757e+01,8.144605159759521484e-01
6.631111810166827070e+01,8.165663480758666992e-01
6.642255685288897382e+01,8.186721801757812500e-01
6.653399560410967695e+01,8.207780122756958008e-01
6.664543435533038007e+01,8.228838443756103516e-01
6.675687310655108320e+01,8.249897360801696777e-01
6.686831185777178632e+01,8.270955681800842285e-01
6.699199960191241132e+01,8.291700482368469238e-01
6.711968133409014570e+01,8.312343955039978027e-01
6.724736306626788007e+01,8.332986831665039062e-01
6.737504098374834882e+01,8.353630304336547852e-01
6.750272271592608320e+01,8.374273180961608887e-01
6.763040063340655195e+01,8.394916057586669922e-01
6.775808236558428632e+01,8.415559530258178711e-01
6.788576409776202070e+01,8.436202406883239746e-01
6.801344201524248945e+01,8.456845879554748535e-01
6.815933892686358320e+01,8.476941585540771484e-01
6.830607507188311445e+01,8.497012257575988770e-01
6.845281121690264570e+01,8.517082333564758301e-01
6.859954354722491132e+01,8.537153005599975586e-01
6.874627969224444257e+01,8.557223677635192871e-01
6.889301583726397382e+01,8.577294349670410156e-01
6.903975198228350507e+01,8.597364425659179688e-01
6.918939492661944257e+01,8.617331385612487793e-01
6.935821053941241132e+01,8.636612296104431152e-01
6.952702615220538007e+01,8.655893206596374512e-01
6.969584176499834882e+01,8.675174713134765625e-01
6.986465737779131757e+01,8.694455623626708984e-01
7.003347299058428632e+01,8.713736534118652344e-01
7.020228860337725507e+01,8.733017444610595703e-01
7.037553689439288007e+01,8.752107620239257812e-01
7.056939980943194257e+01,8.770307898521423340e-01
7.076325509507647382e+01,8.788508772850036621e-01
7.095711801011553632e+01,8.806709647178649902e-01
7.115097329576006757e+01,8.824909925460815430e-01
7.134483621079913007e+01,8.843110799789428711e-01
7.153869912583819257e+01,8.861311078071594238e-01
7.175940225083819257e+01,8.878090381622314453e-01
7.198063943345538007e+01,8.894841670989990234e-01
7.220187661607256757e+01,8.911592364311218262e-01
7.242311379868975507e+01,8.928343057632446289e-01
7.264435098130694257e+01,8.945094347000122070e-01
7.287752816636553632e+01,8.961052894592285156e-01
7.312704751451006757e+01,8.975926637649536133e-01
7.337657449204913007e+01,8.990800380706787109e-01
7.362609384019366132e+01,9.005674123764038086e-01
7.387561318833819257e+01,9.020547866821289062e-01
7.413523385484209882e+01,9.034559130668640137e-01
7.441170022447100507e+01,9.047129750251770020e-01
7.468817422349444257e+01,9.059700965881347656e-01
7.496464059312334882e+01,9.072271585464477539e-01
7.524111459214678632e+01,9.084842801094055176e-01
7.553386971909991132e+01,9.095556139945983887e-01
7.583336923081866132e+01,9.105500578880310059e-01
7.613286874253741132e+01,9.115444421768188477e-01
7.643237588365069257e+01,9.125388264656066895e-01
7.673687264878741132e+01,9.134531021118164062e-01
7.705355355699053632e+01,9.141720533370971680e-01
7.737023446519366132e+01,9.148910045623779297e-01
7.768691537339678632e+01,9.156099557876586914e-01
7.800368783433428632e+01,9.163265228271484375e-01
7.833117959458819257e+01,9.167810082435607910e-01
7.865866372544756757e+01,9.172354936599731445e-01
7.898614785630694257e+01,9.176899790763854980e-01
7.931363198716631757e+01,9.181444644927978516e-01
7.964520547349444257e+01,9.184205532073974609e-01
7.997806069810381757e+01,9.186409711837768555e-01
8.031090829331866132e+01,9.188613891601562500e-01
8.064376351792803632e+01,9.190818071365356445e-01
8.097738168199053632e+01,9.192106723785400391e-01
8.131183907945147382e+01,9.192384481430053711e-01
8.164629647691241132e+01,9.192662239074707031e-01
8.198075387437334882e+01,9.192939996719360352e-01
8.231516549546709882e+01,9.193073511123657227e-01
8.264918038804522382e+01,9.191886782646179199e-01
8.298318765122881757e+01,9.190700054168701172e-01
8.331720254380694257e+01,9.189512729644775391e-01
8.365120980699053632e+01,9.188326001167297363e-01
8.398451516587725507e+01,9.186518192291259766e-01
8.431733987290850507e+01,9.184298515319824219e-01
8.465016457993975507e+01,9.182078242301940918e-01
8.498299691636553632e+01,9.179857969284057617e-01
8.531582162339678632e+01,9.177638292312622070e-01
8.564760873277178632e+01,9.174811244010925293e-01
8.597936532456866132e+01,9.171963930130004883e-01
8.631112191636553632e+01,9.169116616249084473e-01
8.664287850816241132e+01,9.166268706321716309e-01
8.697442147691241132e+01,9.163322448730468750e-01
8.730511758286944257e+01,9.159970879554748535e-01
8.763581368882647382e+01,9.156618714332580566e-01
8.796650979478350507e+01,9.153266549110412598e-01
8.829720590074053632e+01,9.149914979934692383e-01
8.862675759751788007e+01,9.146102666854858398e-01
8.895597360093584882e+01,9.142153263092041016e-01
8.928518197495928632e+01,9.138203859329223633e-01
8.961439797837725507e+01,9.134255051612854004e-01
8.994307992417803632e+01,9.130120277404785156e-01
9.027070901353350507e+01,9.125621914863586426e-01
