time[ms],voltage[mV]
5.910045240950484668e+01,2.033069992065429688e+01
5.914835356306929981e+01,2.061616134643554688e+01
5.919625090193648731e+01,2.090162467956542969e+01
5.924415205550094043e+01,2.118708610534667969e+01
5.929205320906539356e+01,2.147254943847656250e+01
5.933995436262984668e+01,2.175801277160644531e+01
5.938785170149703418e+01,2.204347419738769531e+01
5.943575285506148731e+01,2.232893753051757812e+01
5.949528883528609668e+01,2.261238098144531250e+01
5.956030653548140918e+01,2.289487457275390625e+01
5.962532805037398731e+01,2.317736816406250000e+01
5.969034575056929981e+01,2.345986175537109375e+01
5.975536345076461231e+01,2.374235725402832031e+01
5.982038496565719043e+01,2.402485084533691406e+01
5.988540266585250293e+01,2.430734443664550781e+01
5.995042036604781543e+01,2.458983802795410156e+01
6.001543806624312793e+01,2.487233161926269531e+01
6.008045958113570606e+01,2.515482521057128906e+01
6.014547728133101856e+01,2.543731880187988281e+01
6.021049498152633106e+01,2.571981239318847656e+01
6.027551649641890918e+01,2.600230598449707031e+01
6.034180067610640918e+01,2.628448677062988281e+01
6.043515394759078418e+01,2.655996513366699219e+01
6.052850721907515918e+01,2.683544349670410156e+01
6.062186049055953418e+01,2.711092185974121094e+01
6.071521757674117481e+01,2.738640022277832031e+01
6.080857084822554981e+01,2.766187858581542969e+01
6.090192411970992481e+01,2.793735694885253906e+01
6.099527739119429981e+01,2.821283531188964844e+01
6.108863066267867481e+01,2.848831176757812500e+01
6.118198774886031543e+01,2.876379013061523438e+01
6.127534102034469043e+01,2.903926849365234375e+01
6.137246702742476856e+01,2.931330490112304688e+01
6.151287840437789356e+01,2.957077789306640625e+01
6.165329359602828418e+01,2.982825088500976562e+01
6.179370497298140918e+01,3.008572387695312500e+01
6.193412016463179981e+01,3.034319686889648438e+01
6.207453154158492481e+01,3.060066986083984375e+01
6.221494673323531543e+01,3.085814285278320312e+01
6.235535811018844043e+01,3.111561584472656250e+01
6.249577330183883106e+01,3.137308883666992188e+01
6.267600248885054981e+01,3.160422515869140625e+01
6.288943480086226856e+01,3.181340026855468750e+01
6.310286711287398731e+01,3.202257919311523438e+01
6.331629942488570606e+01,3.223175430297851562e+01
6.352973173689742481e+01,3.244092941284179688e+01
6.374316404890914356e+01,3.265010833740234375e+01
6.395659636092086231e+01,3.285928344726562500e+01
6.424158476424116770e+01,3.296702957153320312e+01
6.453158949446577708e+01,3.306767272949218750e+01
6.482159422469038645e+01,3.316831207275390625e+01
6.511159895491499583e+01,3.326895523071289062e+01
6.540160368513960520e+01,3.336959838867187500e+01
6.569513701033491770e+01,3.344227981567382812e+01
6.600225065779585520e+01,3.340738677978515625e+01
6.630936049055952708e+01,3.337248992919921875e+01
6.661647413802046458e+01,3.333759689331054688e+01
6.692358778548140208e+01,3.330270004272460938e+01
6.723070143294233958e+01,3.326780700683593750e+01
6.753781126570601145e+01,3.323291397094726562e+01
6.782107924055952708e+01,3.312132263183593750e+01
6.810044096541304270e+01,3.299716567993164062e+01
6.837979887556929270e+01,3.287300491333007812e+01
6.865916060042280833e+01,3.274884796142578125e+01
6.893851851057905833e+01,3.262469100952148438e+01
6.921788023543257395e+01,3.250053405761718750e+01
6.949723814558882395e+01,3.237637329101562500e+01
6.977659987044233958e+01,3.225221633911132812e+01
7.003509520125288645e+01,3.209528732299804688e+01
7.028528975081343333e+01,3.192532539367675781e+01
7.053548430037398020e+01,3.175536346435546875e+01
7.078567884993452708e+01,3.158540153503417969e+01
7.103587339949507395e+01,3.141543960571289062e+01
7.128607176375288645e+01,3.124547767639160156e+01
7.153626249861616770e+01,3.107551574707031250e+01
7.178646086287398020e+01,3.090555381774902344e+01
7.203665922713179270e+01,3.073559188842773438e+01
