time[ms],[Ca2+]_i[mM]
1.166452545036627839e+02,5.890062557580353353e-01
1.168277887340988883e+02,5.872509371836573955e-01
1.170103229645349927e+02,5.854956186092798998e-01
1.171928571949710687e+02,5.837403000349019599e-01
1.173753914254072015e+02,5.819849814605240201e-01
1.175579256558433201e+02,5.802296628861460803e-01
1.177404598862793961e+02,5.784743443117681405e-01
1.179247347616652917e+02,5.767267000751923334e-01
1.181092481818916582e+02,5.749801075600989853e-01
1.182937616021180247e+02,5.732335150450048600e-01
1.184782750223443628e+02,5.714869225299115119e-01
1.186627884425707435e+02,5.697403300148178307e-01
1.188473018627971101e+02,5.679937374997241495e-01
1.190318152830234482e+02,5.662471449846308014e-01
1.192163287032498147e+02,5.645005524695371202e-01
1.194008421234761812e+02,5.627539599544434390e-01
1.195853555437025619e+02,5.610073674393497578e-01
1.197698689639289000e+02,5.592607749242560766e-01
1.199543823841552665e+02,5.575141824091627285e-01
1.201388958043816331e+02,5.557675898940690473e-01
1.203234092246079996e+02,5.540209973789753661e-01
1.205079226448343377e+02,5.522744048638815739e-01
1.206924360650607184e+02,5.505278123487883368e-01
1.208769494852870565e+02,5.487812198336945446e-01
1.210619560389441745e+02,5.470368891556232072e-01
1.212543807770674533e+02,5.453265831922002871e-01
1.214468055151907180e+02,5.436162772287772560e-01
1.216392302533139826e+02,5.419059712653543359e-01
1.218316549914372615e+02,5.401956653019313048e-01
1.220240797295605546e+02,5.384853593385083848e-01
