time[ms],[Ca2+]_i[μM]
7.593555449080366770e+01,6.464854478836059570e-01
7.619930265974898020e+01,6.465450525283813477e-01
7.646304319929976145e+01,6.466047167778015137e-01
7.672679136824507395e+01,6.466643214225769043e-01
7.699053953719038645e+01,6.467239856719970703e-01
7.725428770613569895e+01,6.467835903167724609e-01
7.751802824568648020e+01,6.468432545661926270e-01
7.778177641463179270e+01,6.469028592109680176e-01
7.804552458357710520e+01,6.469624638557434082e-01
7.830927275252241770e+01,6.470221281051635742e-01
7.857301329207319895e+01,6.470817327499389648e-01
7.883676146101851145e+01,6.471413969993591309e-01
7.910050962996382395e+01,6.472010016441345215e-01
7.936425779890913645e+01,6.472606658935546875e-01
7.962799833845991770e+01,6.473202705383300781e-01
7.989171598982710520e+01,6.473515629768371582e-01
8.015528868269819895e+01,6.472646594047546387e-01
8.041886900496382395e+01,6.471776962280273438e-01
8.068244169783491770e+01,6.470907330513000488e-01
8.094601439070601145e+01,6.470037698745727539e-01
8.120959471297163645e+01,6.469168066978454590e-01
8.147317503523726145e+01,6.468304991722106934e-01
8.173676298689741770e+01,6.467452049255371094e-01
8.200035093855757395e+01,6.466599106788635254e-01
8.226393889021773020e+01,6.465746164321899414e-01
8.252752684187788645e+01,6.464893221855163574e-01
8.279111479353804270e+01,6.464040279388427734e-01
8.305470274519819895e+01,6.463186740875244141e-01
8.331828306746382395e+01,6.462329626083374023e-01
8.358187101912398020e+01,6.461473107337951660e-01
8.384545897078413645e+01,6.460615992546081543e-01
8.410903929304976145e+01,6.459758877754211426e-01
8.437262724470991770e+01,6.458902359008789062e-01
8.463621519637007395e+01,6.458045244216918945e-01
8.489978788924116770e+01,6.457172632217407227e-01
8.516335295271773020e+01,6.456295847892761230e-01
8.542692564558882395e+01,6.455418467521667480e-01
8.569049833845991770e+01,6.454541683197021484e-01
8.595406340193648020e+01,6.453664898872375488e-01
8.621763609480757395e+01,6.452787518501281738e-01
8.648120115828413645e+01,6.451907753944396973e-01
8.674475096297163645e+01,6.450997591018676758e-01
8.700829313826460520e+01,6.450088024139404297e-01
8.727184294295210520e+01,6.449178457260131836e-01
8.753538511824507395e+01,6.448268294334411621e-01
8.779893492293257395e+01,6.447358727455139160e-01
8.806247709822554270e+01,6.446448564529418945e-01
8.832601164412398020e+01,6.445530652999877930e-01
8.858952330183882395e+01,6.444573998451232910e-01
8.885303495955366770e+01,6.443617939949035645e-01
8.911653898787398020e+01,6.442661285400390625e-01
8.938005064558882395e+01,6.441705226898193359e-01
8.964355467390913645e+01,6.440748572349548340e-01
8.990706633162398020e+01,6.439792513847351074e-01
9.017057035994429270e+01,6.438830494880676270e-01
9.043402861189741770e+01,6.437814235687255859e-01
9.069748686385054270e+01,6.436797976493835449e-01
9.096094511580366770e+01,6.435781717300415039e-01
9.122440336775679270e+01,6.434764862060546875e-01
9.148786161970991770e+01,6.433748602867126465e-01
9.175131987166304270e+01,6.432732343673706055e-01
9.201477812361616770e+01,6.431716084480285645e-01
9.227817534041304270e+01,6.430637836456298828e-01
9.254157255720991770e+01,6.429548263549804688e-01
9.280496214461226145e+01,6.428458690643310547e-01
9.306835173201460520e+01,6.427368521690368652e-01
9.333174894881148020e+01,6.426278948783874512e-01
9.359513853621382395e+01,6.425189375877380371e-01
9.385852812361616770e+01,6.424099802970886230e-01
9.412188719344038645e+01,6.422969698905944824e-01
9.438519285750288645e+01,6.421794891357421875e-01
9.464850615095991770e+01,6.420619487762451172e-01
9.491181181502241770e+01,6.419444680213928223e-01
9.517512510847944895e+01,6.418269872665405273e-01
9.543843077254194895e+01,6.417094469070434570e-01
9.570174406599898020e+01,6.415919661521911621e-01
