time[ms],current [pA]
-7.964070892333984375e+01,4.313340783119201660e-01
-7.957338714599609375e+01,4.300725460052490234e-01
-7.950611877441406250e+01,4.288125634193420410e-01
-7.943891906738281250e+01,4.275541305541992188e-01
-7.937177276611328125e+01,4.262973070144653320e-01
-7.930468750000000000e+01,4.250420629978179932e-01
-7.923767089843750000e+01,4.237884581089019775e-01
-7.917071533203125000e+01,4.225365519523620605e-01
-7.910260009765625000e+01,4.212636351585388184e-01
-7.901741027832031250e+01,4.196734130382537842e-01
-7.893228149414062500e+01,4.180872738361358643e-01
-7.884721374511718750e+01,4.165051877498626709e-01
-7.876220703125000000e+01,4.149271845817565918e-01
-7.867726135253906250e+01,4.133532345294952393e-01
-7.859237670898437500e+01,4.117833375930786133e-01
-7.850754547119140625e+01,4.102175235748291016e-01
-7.842277526855468750e+01,4.086557328701019287e-01
-7.833806610107421875e+01,4.070979952812194824e-01
-7.825341796875000000e+01,4.055443108081817627e-01
-7.816882324218750000e+01,4.039946198463439941e-01
-7.808428955078125000e+01,4.024489820003509521e-01
-7.799980926513671875e+01,4.009073674678802490e-01
-7.791539001464843750e+01,3.993697762489318848e-01
-7.783102416992187500e+01,3.978362083435058594e-01
-7.774671936035156250e+01,3.963066339492797852e-01
-7.766246032714843750e+01,3.947810530662536621e-01
-7.757826995849609375e+01,3.932594656944274902e-01
-7.749412536621093750e+01,3.917419016361236572e-01
-7.741004943847656250e+01,3.902283012866973877e-01
-7.732601928710937500e+01,3.887186944484710693e-01
-7.724204254150390625e+01,3.872130513191223145e-01
-7.715812683105468750e+01,3.857114017009735107e-01
-7.707425689697265625e+01,3.842136859893798828e-01
-7.699044799804687500e+01,3.827199637889862061e-01
-7.690668487548828125e+01,3.812301754951477051e-01
-7.682298278808593750e+01,3.797443509101867676e-01
-7.673931884765625000e+01,3.782624602317810059e-01
-7.665572357177734375e+01,3.767845332622528076e-01
